Notre Dame de Paris, Victor Hugo, male, french, 25.3, Fiction, 1831
Marile sperante vol. 1, Charles Dickens, male, british, 32.1, Fiction, 1860
Marile sperante vol. 2, Charles Dickens, male, british, 30, Fiction, 1861
Povestea lui Harap-Alb, Ion Cranga, male, romanian, 14.5, Folktale, 1877
Povestile fratilor Grimm, Jacob Grimm, male, german, 12, Folktale, 1812
Vara in care mama a avut ochii verzi, Tatiana Tibuleac, female, romanian, 30, Fiction, 2019
Mica enciclopedie Hygge, Meik Wiking, male, danish, 39.9, Nonfiction, 2016
Ion, Liviu Rebreanu, male, romanian, 14.9, Fiction, 1920
Cartile junglei, Rudyard Kipling, male, british, 20, Fiction, 1894
Divina Comedie, Dante Alighieri, male, italian, 100.3, Poetry, 1307
Inocentii, Ioana Parvulescu, female, romanian, 25.5, Fiction, 2016
Jack si vrejul de fasole, Joseph Jacobs, male, australian, 9.9, Folktale,1890
Sapiens. Scurta istorie a omenirii, Yuval Noah Harari, male, israeli, 33.3, Nonfiction, 2011
Faust vol.1, Johann Wolfgang von Goethe, male, german, 40.3, Drama, 1829
Poesii, Mihai Eminescu, male, romanian, 22, Poetry, 1883
Pe aripile vantului vol.1, Margaret Mitchell, female, american, 11.6, Fiction, 1936
